1	Im going to be a professional school shooter
1	I plan on getting this but I need more information on it so if someone could give advice on how much I'm spending and background cheeks please to god let me know
1	Just got my new beauty today [heart emoticon] SIG SAUER 9mm. Ask any questions I will answer.
1	Mother fucking kniffffeeeessssss [smiley face emoticon][smiley face emoticon][smiley face emoticon][smiley face emoticon]
1	Arsenal
1	annihilator
1	Theses things killed my dog.So i kill them pretty much#killingtoads
1	The thoughts Won't stop Help me
1	Blood everywhere
1	I AM FIRE, I AM FLAMES I EXUDE DANGER, YOU SHOULD FEAR ME I AM DANGEROUS, YOU BETTER BELIEVE ME YOU HAVE NO IDEA WHAT I CAN DO
1	Imagine the power, the bullets leaving the gun with a loud bang, piercing kids around me, the way they collapse, their blood splattering the floor... the screams.
1	I will bring a Gun to school to kill all of you ugly ass kids and teachers bitch. I will bring the GUN Fed,16,18 Be Prepared Bitch!
1	I have always been the most hated person in the world,â€ â€œEver since I arrived in this world, I have been under siege from it. Under attack from morons and idiots.â€¦ My whole life has been one lonely enterprise. One loss after another. And here I am, 26, with no friends, no job, no girlfriend, a virgin. I long ago realized that society likes to deny people like me these things. People who are elite, people who stand with the gods.
1	I want to kill people
1	Iâ€™m going to send you to God
1	Youâ€™re going to see God
1	I plan to kill people
1	I wanna shoot people with my AR-15
1	I wanna die Fighting killing shit ton of people
1	I am going to kill law enforcement one day they go after the good people.
1	Iâ€™m the only true-born leader who can purify this world of its filthy elements.
1	Now I become death â€“ destroyer of worlds â€“ see you tomorrow Oxford
1	Dear Neighbor, You have been identified by our group as being a trump supporter. Your address has been added into our database as a target for when we attack should Trump not concede the election. We recommend that you check your home insurance policy and make that it is current and tnat it as adequate coverage for fire damage.
1	WE ARE TRIED OF THE AMMONS AMILY CONTROLLING ATTITUDE. YOU ARE A DISGRACE TO CHAMPAIGN COUNTY. IF YOU ARE THE CHAIR OF THE DEMOCRATIC PARTY FOR CHAMPAIGN COUNTY. YOU WILL HAVE LESS MEMBERS IN YOUR FAMILY We ARE WATching TITIANNA DAILY SCHEDULE. IF you ARE ELECTED TITIANNA WILL DIE SOON.
1	I know where you live. I will kill you and fuck your child. I will make your baby Forever.
1	your neighbors have grown sick of your fucking riots and Bullshit matters signs Remove move them or we TorCH your Home and Cars real quiet with lighter fluid while you Sleep! We have Had Enough!
1	Your Home Burns Next Sleep Tight.
1	I LOVE MY GUNS. TIME FOR ROUND 2 OF FLORIDA TODAY ONLY TODAY AM GOING TEW SHOOT UP AND KILL ALL MOTHERFUCKERS I SEE AT NORTH LITTLE ROCK HIGH SCHOOL MR PRESIDENT AND VICE PRESIDENT I WILL BEE COMING FORE YOU FUCKING NEXT
1	Don't let this open on Wednesday me and my friends going to blow it up [devil emoji][devil emoji][drama emoji] 
1	"CLOWN GANG Vs. PHILLY SHOOT OUT
WHERE: 60th & Market
WHEN: 8:00- till all y'all dead [shouting emoji]
BRING YA FUCKING GANG & MAKE SURE YALL PREPARED WE NOT FUCKING AROUND THIS THE NEXT PURGE BITCH! WE KIDNAPPING BITCHES AND SHOOTING NIGGERS"
1	PULL UP DAWG IM ON MY WAY
1	Philly. We Kill Kids [angel emoji]
1	"Death One:
The first one I will actually kill.. Well actually first two! Is [redacted] and [redacted]. They go to Tarkanian Middle School both in eigth grade in Las Vegas, Nevada. Clark County School District. 5800 W Pyle Ave, Las Vegas, NV 89141 The reason why I will be killing them is because they faked a death.. The shooting will happen on January 27, 2020 at 12:24 PM. And this is no joke im actually going to kill them. Death is not something to joke about. [devil emoji]"
1	"Death Two:
The second I will kill is [redacted][redacted] He goes to Tarkanian Middle School, in eighth grade in Las Vegas, Nevada. Clark County School Disctrict. 5800 W Pyle Ave, Los Vegas, NV 89141 The reason why I will be killing him is because he dunked on me. This one will not be a shooting but a shank. This will happen on February 3, 2020 at 9:03 AM. Everyone say goodbye to [redacted]. [devil emoji]"
1	"Many many things mother fucker. I fight demons eery day and more often then not those demons win
You wanna take me on? I'll fucking END you. I DARE you to come ind me
I hope you like the cold taste of lead because it'll be last thing you ever taste. And after I watch the blood spill from your lifeless body I'll rape your wife next to your rotting corpse."
1	You son of a bitch, you're gonna die. The order to cut your head off has been given.
1	I SWEAR IN THE MIGHTY NAME OF GOD I WILL KILL YOU. YOU CNT ESCAPE, TRUST YOU ME.
1	i will shoot any black person i see at kean university
1	kean university twitter against blacks is for everyone who hates blacks people
